"X","name","mzmed","mzmin","mzmax","rtmed","rtmin","rtmax","npeaks","NEG","maxint","X200STD_amide23_24DDA100.700_neg01","X200STD_amide23_24DDA100.700_neg02","X200STD_amide23_24DDA100.700_neg03","X200STD_amide23_24DDA100.700_neg04","num.ms1.spec","num.spec","isolation.warning","rt.extended","nhits.reverse_zhulib","hits.reverse_zhulib","nhits.forward_zhulib","hits.forward_zhulib"
1011,"M175T322",175.487934711805,175.485584675454,175.488165844625,321.629,320.32,324.14,3,3,266,269.416125,1420.39647058823,827.16830769231,1294.02,0,0,FALSE,FALSE,"0","","0",""
1012,"M176T782",175.946287634773,175.946069513378,175.946505756169,782.2725,781.603,782.942,2,2,456,5666.70463492063,6296.06756666666,6959.9736,5367.3591923077,0,0,FALSE,FALSE,"0","","0",""
1013,"M176T820",176.029100054806,176.028356446866,176.029742050762,819.812,818.501,820.12,3,3,233,560.898000000001,1222.208625,1767.0162631579,1454.87802941176,0,0,FALSE,FALSE,"0","","0",""
1014,"M176T753",176.039250258496,176.039118226703,176.039336243799,752.6445,751.904,753.438,4,4,12430,74359.0278260871,81774.0923999997,83873.670238095,84967.5870952381,0,0,FALSE,FALSE,"0","","0",""
1015,"M176T322",176.039510146584,176.039283936756,176.039618126916,322.46,322,322.709,3,3,61353,164446.463074074,515072.990250001,520410.605478261,487244.5896,3,31,FALSE,FALSE,"1","score{0.8566}adduct{(M-H)-}name{N-Formylmethionine}labid{S0097}","1","score{0.8565}adduct{(M-H)-}name{N-Formylmethionine}labid{S0097}"
1016,"M176T635",176.049953936847,176.049814305904,176.050175780649,634.8905,634.535,635.122,4,4,2359,16509.825375,16343.1781578948,16501.445,19101.0531999999,0,0,FALSE,FALSE,"0","","0",""
1017,"M177T1170",176.894922340198,176.894706363787,176.895138316608,1169.735,1169.65,1169.82,2,2,5471,15460.510909091,14465.8079999996,14219.6939999995,12388.1199999996,2,20,TRUE,TRUE,"0","","0",""
1018,"M177T783",176.943546288235,176.93336292941,176.94402239737,782.683,775.033,783.486,3,3,721,1882.816,2180.43355555553,2192.55059999999,7623.66499999998,1,5,TRUE,TRUE,"0","","0",""
1019,"M177T841",176.956739620801,176.956210204833,176.957263788145,840.8135,840.589,841.612,4,4,997,7547.60264000002,6316.97791304347,6636.36190476189,6106.20465,0,0,FALSE,FALSE,"0","","0",""
1020,"M177T266",176.960244122235,176.960117848144,176.96161102595,265.633,264.552,266.013,3,3,604,6618.26633333334,1649.61,1893.18505882353,814.910499999993,0,0,FALSE,FALSE,"0","","0",""
1021,"M177T610",176.983233180661,176.982994825708,176.983323442073,610.199,609.593,610.363,4,4,3828,43649.351076923,49295.1548461537,48123.2951111111,51201.7944444444,4,7,FALSE,FALSE,"0","","0",""
1022,"M177T960",176.983342622727,176.983080687286,176.98350060966,959.9695,949.458,981.976,6,2,431,705.086764705894,1009.14925,1560.484125,1243.46954545455,0,0,FALSE,FALSE,"0","","0",""
1023,"M177T818",176.983203826773,176.982893665511,176.983513988035,817.842,816.11,819.574,2,2,837,21409.3254782609,15584.4996470588,14732.9899444445,4078.68818181817,0,0,FALSE,FALSE,"0","","0",""
1024,"M177T903",176.983616877639,176.983324790365,176.983908964914,902.717,902.215,903.219,2,2,452,8693.66786363635,6890.27815384614,5232.071,7113.89627586207,0,0,FALSE,FALSE,"0","","0",""
1025,"M177T752",177.039821535969,177.039599492781,177.040135113504,752.441,751.904,752.765,4,4,2677,19359.3344,16364.2703636364,17045.9815217391,18040.1449565218,4,3,TRUE,TRUE,"1","score{0.8728}adduct{(M-H)-}name{L-Gulonic gamma-lactone}labid{S0279}","0",""
1026,"M177T700",177.040391780114,177.039711159826,177.040417624439,699.937,699.387,699.997,3,3,790,7095.40127999999,4143.38954545455,4425.91000000002,5210.35513043478,3,5,TRUE,FALSE,"1","score{0.8728}adduct{(M-H)-}name{L-Gulonic gamma-lactone}labid{S0279}","0",""
1027,"M177T322",177.041257933773,177.041242603805,177.041468541913,322.46,322,322.709,3,3,4130,18606.7594642857,34926.9637500001,36087.3586666667,35182.75872,0,0,FALSE,FALSE,"0","","0",""
1028,"M177T635",177.051592774199,177.050224162856,177.052002776489,634.733,633.78,635.122,4,4,498,3977.24342857144,2719.8926,4404.40641666668,4113.42300000001,2,14,TRUE,FALSE,"0","","0",""
1029,"M177T72",177.091615236612,177.091254638117,177.091825382702,71.925,63.399,72.094,4,4,4443,29676.3663030303,23101.3,24540.9137037037,24240.84,4,6,TRUE,FALSE,"0","","0",""
1030,"M178T386",177.957694497487,177.95755459542,177.957834399555,385.6525,383.676,387.629,2,2,157,994.962176470589,1301.67992307692,1279.77715384615,810.123583333333,0,0,FALSE,FALSE,"0","","0",""
1031,"M178T611",177.984288513446,177.98392488466,177.984759838368,610.5025,610.046,612.513,4,4,494,3767.98083333332,3490.54942708333,3826.09966666665,3169.939,0,0,FALSE,FALSE,"0","","0",""
1032,"M178T73",178.006347260568,178.006085129558,178.006637937549,73.0945,67.819,74.145,4,4,9173,39765.5785185185,33128.89085,30748.7451904762,27575.1855555556,4,6,TRUE,FALSE,"0","","0",""
1033,"M178T676",178.017410077846,178.016919674449,178.017603518232,676.0535,675.109,677.499,4,4,492,5092.524,5914.8945,6487.17126315789,6236.43690322579,3,31,FALSE,FALSE,"1","score{0.9921}adduct{(M-H)-}name{S-Carboxymethyl-L-cysteine}labid{L0048}","0",""
1034,"M178T322",178.034023403088,178.033745815496,178.034038956676,322.46,322,322.709,3,3,2632,7295.98671999999,20435.5767272727,21133.4712857143,19736.2273333333,3,10,FALSE,FALSE,"0","","0",""
1035,"M178T753",178.043095117243,178.04289248953,178.043297744956,753.1845,752.765,753.604,2,2,194,2639.14742857143,1023.18154,899.640000000001,2187.173,0,0,FALSE,FALSE,"0","","0",""
1036,"M178T316",178.072697977684,178.071616556261,178.073327973172,316.269,312.84,316.954,3,3,991,12928.799,1327.23157894737,3128.93072727273,2397.9944,3,25,TRUE,FALSE,"0","","0",""
1037,"M178T369",178.087097529098,178.086900688826,178.087359717863,368.504,368.227,369.776,4,4,577,2324.052,2145.35,1788.72181818182,2127.28765714286,1,1,FALSE,FALSE,"0","","0",""
1038,"M178T1280",178.095315073695,178.09430131602,178.096328831371,1279.585,1279.53,1279.64,2,2,232,154.560000000012,99.18000000001,130.140000000019,135.180000000005,0,0,FALSE,FALSE,"0","","0",""
1039,"M178T74",178.461216514763,178.458114385881,178.461655956199,74.075,70.019,74.145,3,3,758,2202.40054545455,2103.93242857143,2273.98533333333,1809.53485714286,1,12,TRUE,FALSE,"0","","0",""
1040,"M178T700",178.494956954941,178.49437848787,178.495535422011,699.967,699.937,699.997,2,2,302,1467.882,1577.57027272728,1796.39008333334,1785.78540000001,3,39,FALSE,FALSE,"0","","0",""
1041,"M179T835",178.883710518988,178.883377248835,178.883949916817,835.2365,834.549,835.319,4,4,1172,7436.70934782607,8675.37630434783,9472.15587999999,10912.4664090909,4,7,TRUE,FALSE,"0","","0",""
1042,"M179T75",179.021503292454,179.020710033929,179.022091024103,75.1895,70.019,75.394,4,4,255069,857220.745181818,654929.571214286,611406.4632,611608.304985507,4,28,FALSE,FALSE,"0","","0",""
1043,"M179T434",179.019558364715,179.018714875506,179.020401853924,433.8875,433.262,434.513,2,2,17881,45274.302857143,950.16,45352.8807142859,817.979874999999,0,0,FALSE,FALSE,"0","","0",""
1044,"M179T477",179.045765811083,179.045515846919,179.046004147606,476.621,461.681,476.984,5,4,4938,18253.6066666667,28245.2568749999,42370.0777878788,40791.2604210526,4,24,TRUE,FALSE,"1","score{0.9968}adduct{(M-H)-}name{Nicotinuric acid}labid{S0250}","0",""
1045,"M179T431",179.046024470148,179.045340154648,179.046924913181,431.213,430.684,432.437,4,4,17881,55216.9836557377,47405.9731428571,47646.734142857,46690.0971428572,4,12,FALSE,FALSE,"1","score{0.9989}adduct{(M-H)-}name{Nicotinuric acid}labid{S0250}","1","score{0.986}adduct{(M-H)-}name{Nicotinuric acid}labid{S0250}"
1046,"M179T700",179.056509338537,179.056431794072,179.05661882601,700.069,699.937,700.457,4,4,96683,415450.413090909,497187.325227271,535916.210000002,546865.429227272,4,43,FALSE,FALSE,"7","score{1}adduct{(2M-H)-}name{Dihydroxyacetone}labid{L0351};score{0.9541}adduct{(M-H)-}name{D-Allose}labid{S0353};score{0.9408}adduct{(M-H)-}name{D-Mannose}labid{S0138};score{0.9299}adduct{(M-H)-}name{Alpha-D-Glucose}labid{S0099};score{0.9031}adduct{(M-H)-}name{L-Sorbose}labid{S0376};score{0.807}adduct{(M-H)-}name{D-Tagatose}labid{S0280};score{0.8009}adduct{(2M-H)-}name{3-Hydroxypropionic acid (beta-lactic acid)}labid{L0205}","0",""
1047,"M179T527",179.055528423182,179.055246729698,179.055760931945,527.445,526.057,528.338,4,4,1269,20798.5732972973,19889.4116571428,20539.123368421,21167.0497777778,4,11,FALSE,TRUE,"4","score{0.9483}adduct{(M-H)-}name{D-Mannose}labid{S0138};score{0.9327}adduct{(M-H)-}name{D-Allose}labid{S0353};score{0.899}adduct{(M-H)-}name{Alpha-D-Glucose}labid{S0099};score{0.8545}adduct{(M-H)-}name{L-Sorbose}labid{S0376}","0",""
1048,"M179T651",179.056171158395,179.055793189749,179.056314036994,651.38,651.08,651.594,3,3,685,3642.53556521739,3586.17350000001,3241.48471428571,4136.11488888889,3,7,TRUE,FALSE,"4","score{0.9477}adduct{(M-H)-}name{D-Mannose}labid{S0138};score{0.9329}adduct{(M-H)-}name{D-Allose}labid{S0353};score{0.8984}adduct{(M-H)-}name{Alpha-D-Glucose}labid{S0099};score{0.8519}adduct{(M-H)-}name{L-Sorbose}labid{S0376}","4","score{0.9446}adduct{(M-H)-}name{D-Mannose}labid{S0138};score{0.9298}adduct{(M-H)-}name{D-Allose}labid{S0353};score{0.8955}adduct{(M-H)-}name{Alpha-D-Glucose}labid{S0099};score{0.8471}adduct{(M-H)-}name{L-Sorbose}labid{S0376}"
1049,"M179T1307",179.070957417096,179.070208486237,179.071314609807,1307.085,1285.29,1327.47,26,3,394,911.886000000032,1104.38333333332,900.360000000019,1346.72678571433,0,0,FALSE,FALSE,"0","","0",""
1050,"M179T1344",179.071030104804,179.070320297745,179.071405149826,1344.22,1331.63,1355.93,15,3,398,692.692000000005,1308.37142857141,1295.35999999999,1671.78942857141,0,0,FALSE,FALSE,"0","","0",""
1051,"M179T1368",179.071033235629,179.070280197026,179.071350875723,1368.43,1358.81,1379.34,12,3,400,1551.09090909091,863.421052631544,874.550769230772,1697.54444444445,0,0,FALSE,FALSE,"0","","0",""
1052,"M179T1277",179.071049738415,179.070673415811,179.071439035301,1277.37,1277.04,1280.8,3,2,394,1123.91999999998,1250.72592592595,1247.04,1007.62708333332,0,0,FALSE,FALSE,"0","","0",""
1053,"M179T1262",179.07118325114,179.07086065611,179.071475020934,1262.035,1254.79,1270.18,6,2,413,908.95199999997,1082.70416666666,927.577999999981,1525.36621621624,0,0,FALSE,FALSE,"0","","0",""
1054,"M179T57",179.070927879485,179.070774248612,179.07145507472,56.962,56.796,57.885,4,4,2671,11472.3093636364,9785.86456521739,11672.8003636364,8852.59443478261,1,25,TRUE,FALSE,"0","","0",""
1055,"M179T27",179.071256292659,179.070900464637,179.071364792056,26.653,15.656,33.64,5,2,426,1055.0928,1881.97407407407,1197.21311111111,1068.52566666667,1,25,TRUE,TRUE,"0","","0",""
1056,"M179T215",179.093265757616,179.093067680838,179.093583218939,214.8525,213.266,216.196,4,4,585,8423.804,8837.08367567567,9015.03891891892,9496.48522222222,1,84,TRUE,FALSE,"0","","0",""
1057,"M180T82_1",179.502889499789,179.501571044042,179.503531848638,82.433,82.045,85.074,4,4,1756,16576.9506,20180.0322777778,15720.3301,14705.4715555556,4,207,TRUE,FALSE,"0","","0",""
1058,"M180T835",179.8840375729,179.883647367841,179.885156155879,834.549,833.1,836.293,3,3,256,989.260421052632,1190.78633333334,1375.96865853659,1108.63941666666,0,0,FALSE,FALSE,"0","","0",""
1059,"M180T209",179.957796681358,179.957780087191,179.958366481643,208.587,208.567,209.966,3,3,358,6453.71354545454,3737.9747826087,3748.487375,7147.1284375,0,0,FALSE,FALSE,"0","","0",""
1060,"M180T384",179.979616473045,179.97867192827,179.979883716495,383.676,383.616,384.276,3,3,3942,17289.72,1199.51236363636,1055.217,1107.17382352941,0,0,FALSE,FALSE,"0","","0",""
1061,"M180T1094",179.983152588835,179.982969506872,179.983335670798,1093.625,1089.58,1097.67,2,2,357,124.96799999999,947.52037037038,866.098399999983,326.457999999996,0,0,FALSE,FALSE,"0","","0",""
1062,"M180T68",180.003311743485,180.002798841302,180.003824645669,67.7465,64.489,71.004,2,2,12101,8104.2495625,38187.4875,36970.89,3054.83628571429,3,16,TRUE,FALSE,"0","","0",""
1063,"M180T74",180.023205299201,180.023000144162,180.024513138078,74.11,70.019,74.294,4,4,12327,44176.6572,34002.7399090909,33355.982,32745.8075,1,11,TRUE,TRUE,"0","","0",""
