name,mz,rt,adduct,X200STD_amide23_24DDA100.700_neg01,X200STD_amide23_24DDA100.700_neg02,X200STD_amide23_24DDA100.700_neg03,X200STD_amide23_24DDA100.700_neg04
M241T79,241.073219186294,79.1015,[M-H]-,77769.4271875,284667.738989899,275450.035442308,289304.092222222
M241T607,241.093681168061,607.3025,[M+CH3COO]-,27046.413,25794.751888889,26295.5353448276,26927.5184137932
M241T60,241.216819459828,60.12,[M-H]-,195444.173391304,136461.185793103,142306.441914894,129284.348421053
M241T12,241.216769890615,11.827,[M-H]-,44604.3366891892,55390.3461984733,0,42454.858
M242T690,242.079908022643,689.9675,[M+CH3COO]-,10888.4544117647,12349.3376470588,11546.5444705882,11383.8555789473
M242T861,242.079883668784,860.6125,[M+CH3COO]-,31006.7488,34074.8725625,38781.3085,39057.8934736843
M243T770,243.027630770424,770.235,[M-H]-,5994.77582608696,8277.22679166665,8759.38260869564,13340.2452409639
M243T412,243.061756430881,411.876,[M-H]-,56155.6040869565,59887.1098636364,59597.9453461539,65019.8792083333
M244T811,244.022899819662,811.166,[M+CH3COO]-,3321.08709859155,3957.78148387097,3150.6448695652,3468.49216666667
M245T676,245.11433408775,675.792,[M-H]-,17294.2011666666,20967.1656923077,20751.4922857143,21903.9936818182
M247T890,247.045674048534,890.2105,[M-H]-,7205.83789655171,8954.97205063292,10088.9461858407,8495.18003225807
M249T48,249.058521408667,48.166,[M-H]-,2656.416,2258.575,2115.62205,1959.1605
M250T192,250.094930649275,191.842,[M-H]-,269308.0928,172238.01624,272790.418770833,265115.200682927
M251T783,250.993540537316,782.737,[M+Na-2H]-,5245.08216666665,5496.80576,6037.96124137931,4985.64808695652
M251T298,251.078794228898,298.0105,[M-H]-,215742.836903226,171561.552296297,177692.460689655,171094.192821428
M252T591,252.075004685427,590.9905,[M-H]-,1573643.53432258,1624568.6434394,1797918.06951352,1917693.79626667
M253T61,253.217208776482,61.147,[M-H]-,156128.841,130260.697590909,145735.231278689,162600.97769607799
M253T100,253.2173430423,99.77,[M-H]-,35769.1664571429,31372.7170285714,31131.9156,29209.1794285714
M253T17,253.216819200826,17.0635,[M-H]-,30330.6048020685,34623.3415639098,32374.6128413153,27799.1120625
M255T60,255.233492636045,60.0105,[M-H]-,3011453.95408163,2649396.27136364,2412474.029,1487985.37380952
M255T100,255.233570701084,100.293,[M-H]-,2134681.54329412,1842486.62251613,1890270.34227778,2176810.02730556
