name,mz,rt,X200STD_amide23_24DDA100.700_neg01,X200STD_amide23_24DDA100.700_neg02,X200STD_amide23_24DDA100.700_neg03,X200STD_amide23_24DDA100.700_neg04
M519T751,519.075148725562,751.371,1733.54631578948,2279.09607692309,2158.72028571429,2442.14799999999
M519T617,519.105258966125,616.7965,2230.72215789474,3867.51985714286,3922.10047058824,3845.76076923077
M519T939,519.136213697414,938.7525,1244.944,1072.1532631579,2837.00081632653,1336.89768421053
M519T68,519.149297917766,67.58,4612.43346153846,4959.76540909091,5712.36381818182,5534.6135
M519T1341,519.348304181369,1341.17,479.928125000007,727.559999999985,1154.94499999999,1128.50707317071
M520T266,519.98793855957,266.013,64.7400000000002,1458.00564,1796.0285,1530.618
M520T616,520.099314942282,616.094,1921.20468,826.190750000002,1363.54133333333,1861.088
M520T69,520.152089821911,68.685,731.216999999999,1648.4468,1434.88357142857,1245.904
M521T832,520.609229737207,832.03,532.112214285713,1083.599,1150.63757142857,1143.09506249999
M521T812,521.00559369908,812.4225,2023.7294,2986.19565714286,2711.42795238095,2619.98050000001
M521T55,521.082107059994,54.686,8605.66605882352,7643.4852,5670.91252941177,1863.04285714286
M521T641,521.10231866344,640.6975,7653.79564999999,8105.07668421055,7496.70249999999,8694.35840000001
M521T655,521.102046002534,654.59,4445.71505555554,5735.33047058823,6085.42740909093,5379.4125
M521T938,521.152334987975,938.2755,1262.25075,1293.37066666667,1603.06484210526,1683
M522T55,522.084012728582,54.8105,5188.171125,3563.83582608696,2350.89888888889,991.759999999999
M522T641,522.10610712806,640.6975,2053.21850000001,2043.8578125,2182.54205,2495.62266666667
M522T173,522.23966092342,172.563,1489.56654545455,905.827736842104,1298.70247058824,431.476
M522T57,522.248533358476,57.035,1043.87428571429,1793.627,1305.85975,1862.11766666667
M523T610,522.949945125321,609.8195,748.632950000001,1369.37266666667,1298.78042857143,1306.4994
M523T652,523.061388194912,651.7365,1482.15466666666,1220.58235294117,1359.34379999999,1761.83286666666
M523T56,523.08258905999,55.736,3701.40488235294,3491.93818181818,2139.197375,1048.1174
M523T641,523.099925721082,641.3755,1032.70263636363,1388.52,1250.62921052631,1309.49992307693
M523T318,523.098944686051,318.409,1017.06844,1772.76156521739,1424.63739622641,1701.99491304348
M523T265,523.109804881506,265.278,564.317176470589,2207.8942,1844.10290476191,1683.95170588235
M523T134,523.148650479927,134.493,6909.04522580646,4476.38988235294,4679.24413636363,9108.44866666667
M524T1243,523.842922751625,1242.57,554.535384615382,202.881250000009,460.431578947381,225.413333333336
M524T53,524.11166899762,52.5525,6091.64166666667,3513.19333333333,1712.13,1034.392
M524T273,524.115262013189,272.6475,527.0885,824.396533333333,991.846066666668,1276.245
M524T134,524.152583268465,134.177,1664.690625,855.500249999999,626.370818181818,828.760750000001
M525T1229,524.839131408259,1229.36,555.892307692324,151.374999999993,276.848000000011,392.332500000023
